Nombre,Localización,País,Latitud,Longitud,Altura,time_to_eruption_dt
Macauley,Kermadec Is,New Zealand,-30.21,-178.475,238.0,16656851.350443244
Kikai,Ryukyu Is,Japan,30.793,130.305,704.0,6533364.7436527945
Masaya,Nicaragua,Nicaragua,11.985,-86.165,594.0,5144685.036551712
Witori,New Britain-SW Pac,Papua New Guinea,-5.576,150.516,724.0,10530975.591414483
Taal,Luzon-Philippines,Philippines,14.002,120.993,311.0,20497239.122884072
Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486.0,31369379.054024085
Vesuvius,Italy,Italy,40.821,14.426,1281.0,9951335.044057172
Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280.0,45243788.88278367
Black Peak,Alaska Peninsula,United States,56.552,-158.785,1032.0,8089804.797492089
"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,1905.0,7583400.523177271
St. Helens,US-Washington,United States,46.2,-122.18,2549.0,36985391.57665059
Veniaminof,Alaska Peninsula,United States,56.17,-159.38,2507.0,1867214.4908366585
Aniakchak,Alaska Peninsula,United States,56.88,-158.17,1341.0,22161686.411131144
Santorini,Greece,Greece,36.404,25.396,367.0,36779552.41348116
Redoubt,Alaska-SW,United States,60.485,-152.742,3108.0,25710836.160723563
Taupo,New Zealand,New Zealand,-38.82,176.0,760.0,21570234.82176896
Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023.0,328337.696274096
Cotopaxi,Ecuador,Ecuador,-0.677,-78.436,5911.0,35386847.79537565
Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516.0,21532820.675301462
St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270.0,31919334.38699199
Etna,Italy,Italy,37.748,14.999,3357.0,4284633.124404125
Okmok,Aleutian Is,United States,53.43,-168.13,1073.0,30387031.824269302
Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518.0,27229402.253863662
Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334.0,9400759.022515876
Churchill,Alaska-E,United States,61.38,-141.75,5005.0,13073192.185533836
"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100.0,8667555.685371146
Ksudach,Kamchatka,Russia,51.844,157.572,1079.0,45051027.09780516
Augustine,Alaska-SW,United States,59.363,-153.43,1252.0,436548.0176749558
Krakatau,Indonesia,Indonesia,-6.102,105.423,155.0,33723400.68063714
Ilopango,El Salvador,El Salvador,13.672,-89.053,450.0,3762200.957310848
San Salvador,El Salvador,El Salvador,13.734,-89.294,1893.0,34347606.25613066
"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1920.0,35486744.98800448
Dakataua,New Britain-SW Pac,Papua New Guinea,-5.094,150.094,408.0,33831952.65939204
Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688.0,46571180.71121664
Aira,Kyushu-Japan,Japan,31.593,130.657,1117.0,30959661.59229117
Katla,Iceland-S,Iceland,63.633,-19.083,1490.0,33526708.644260038
Ceboruco,Mexico,Mexico,21.125,-104.508,2280.0,16022793.068287076
Changbaishan,China-E,North Korea,41.98,128.08,2744.0,29225522.951224636
Hekla,Iceland-S,Iceland,63.983,-19.666,1490.0,5176598.350930477
Krysuvik-Trolladyngja,Iceland-SW,Iceland,63.917,-22.067,360.0,15619569.420631573
Fentale,Africa-NE,Ethiopia,8.975,39.93,2007.0,36949512.13920052
Quilotoa,Ecuador,Ecuador,-0.85,-78.9,3914.0,41046969.59501767
Ischia,Italy,Italy,40.73,13.897,789.0,24067743.3191758
Kelud,Java,Indonesia,-7.935,112.314,1730.0,14663293.58485333
Asosan,Kyushu-Japan,Japan,32.884,131.104,1592.0,41075139.41197119
Oraefajokull,Iceland-SE,Iceland,64.0,-16.65,2010.0,21795522.98368821
"Chichon, El",Mexico,Mexico,17.36,-93.228,1150.0,8807894.379547907
Nasudake,Honshu-Japan,Japan,37.125,139.963,1915.0,22617049.739473484
Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2.0,38241877.36693277
Bardarbunga,Iceland-NE,Iceland,64.633,-17.516,2000.0,1356924.312097551
Campi Flegrei,Italy,Italy,40.827,14.139,458.0,21010736.58403871
Dukono,Halmahera-Indonesia,Indonesia,1.693,127.894,1229.0,4482687.267936184
Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357.0,26185350.48798137
Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635.0,17235516.338189382
Pacaya,Guatemala,Guatemala,14.382,-90.601,2569.0,29780017.61036334
Kirishimayama,Kyushu-Japan,Japan,31.934,130.862,1700.0,22684293.804646183
Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,485.0,31074497.036358494
Mombacho,Nicaragua,Nicaragua,11.826,-85.968,1344.0,16477167.20531438
Colima,Mexico,Mexico,19.514,-103.62,3850.0,23447536.00886692
Sao Jorge,Azores,Portugal,38.65,-28.08,1053.0,12609597.85257624
Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.092,155.225,1544.0,4874142.945998414
Fuego,Guatemala,Guatemala,14.473,-90.88,3763.0,16056405.66430154
Merapi,Java,Indonesia,-7.54,110.446,2910.0,4740398.4233155
Raung,Java,Indonesia,-8.119,114.056,3260.0,1195826.587111489
"Ruiz, Nevado del",Colombia,Colombia,4.892,-75.324,5279.0,4306034.800954591
Asamayama,Honshu-Japan,Japan,36.406,138.523,2568.0,17542058.54464335
Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596.0,19102035.772089817
Huaynaputina,Peru,Peru,-16.608,-70.85,4850.0,21496272.034611654
Hachijojima,Izu Is-Japan,Japan,33.137,139.766,854.0,40811994.63198007
Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715.0,6680484.574845298
Tengchong,China-S,China,25.23,98.5,2865.0,28861225.527496
Grimsvotn,Iceland-NE,Iceland,64.416,-17.316,1719.0,27001031.86714519
Furnas,Azores,Portugal,37.77,-25.32,805.0,7717388.780284983
Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068.0,34669629.59593528
Hokkaido-Komagatake,Hokkaido-Japan,Japan,42.063,140.677,1131.0,47430248.83891922
Teon,Banda Sea,Pacific Ocean,-6.976,129.144,728.0,8613465.968366755
Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784.0,1596333.974695834
Toya,Hokkaido-Japan,Japan,42.544,140.839,733.0,7518637.841241264
Unzendake,Kyushu-Japan,Japan,32.761,130.299,1483.0,1841476.6801996424
Io-Torishima,Ryukyu Is,Japan,27.881,128.223,212.0,538924.4859952643
Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496.0,37421817.64726397
Fayal,Azores,Portugal,38.576,-28.713,1041.0,38861312.28954902
La Palma,Canary Is,Spain,28.57,-17.83,2426.0,14256321.135340124
Zukur,Red Sea,Yemen,14.02,42.75,624.0,26331227.650946263
Guntur,Java,Indonesia,-7.143,107.841,2251.0,16055172.247036155
Serua,Banda Sea,Pacific Ocean,-6.312,130.017,608.0,30822628.26245592
Ciremai,Java,Indonesia,-6.895,108.408,3039.0,39919431.30924073
Tenerife,Canary Is,Spain,28.271,-16.641,3715.0,29433448.17588902
Fujisan,Honshu-Japan,Japan,35.361,138.728,3776.0,4716804.993710455
Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318.0,13151647.85375089
Pico,Azores,Portugal,38.47,-28.4,2351.0,13192908.3544274
Krafla,Iceland-NE,Iceland,65.715,-16.728,800.0,12525699.61258378
Lanzarote,Canary Is,Spain,29.03,-13.63,670.0,37934810.51247772
Tseax River Cone,Canada,Canada,55.12,-128.9,609.0,26849320.12947821
Oshima-Oshima,Hokkaido-Japan,Japan,41.51,139.367,732.0,44924039.44940473
Klyuchevskoy,Kamchatka,Russia,56.056,160.642,4754.0,2650684.225680728
Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462.0,40449479.94196746
Dempo,Sumatra,Indonesia,-4.016,103.121,3142.0,20672196.25036478
Papandayan,Java,Indonesia,-7.32,107.73,2665.0,22692047.18764232
Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580.0,20107021.86101639
Raikoke,Kuril Is,Russia,48.292,153.25,551.0,17134285.662931807
Aogashima,Izu Is-Japan,Japan,32.458,139.759,423.0,45708805.32038877
Coropuna,Peru,Peru,-15.52,-72.65,6377.0,41857552.54670734
Hualalai,Hawaiian Is,United States,19.692,-155.87,2523.0,21746092.39609924
Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565.0,15261805.24552121
Izu-Oshima,Izu Is-Japan,Japan,34.724,139.394,746.0,9190856.246534772
Kilauea,Hawaiian Is,United States,19.421,-155.287,1222.0,30182387.69274503
Kyejo,Africa-E,Tanzania,-9.229,33.792,2176.0,20155461.780360084
Chokaisan,Honshu-Japan,Japan,39.099,140.049,2236.0,20181963.10608069
Shikotsu,Hokkaido-Japan,Japan,42.688,141.38,1320.0,3397125.822681103
Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220.0,2009620.2163448748
Tambora,Lesser Sunda Is,Indonesia,-8.25,118.0,2850.0,1803880.683911961
Ijen,Java,Indonesia,-8.058,114.242,2769.0,42732252.08826631
Asuncion,Mariana Is-C Pacific,United States,19.671,145.406,857.0,16921437.75795798
Westdahl,Aleutian Is,United States,54.516,-164.65,1563.0,25556444.547375336
Galunggung,Java,Indonesia,-7.25,108.058,2168.0,16750588.492462607
Shishaldin,Aleutian Is,United States,54.756,-163.97,2857.0,12623251.925032442
Balbi,Bougainville-SW Paci,Papua New Guinea,-5.92,154.98,2715.0,20051319.243668217
Avachinsky,Kamchatka,Russia,53.256,158.836,2717.0,13170454.097155526
Kaba,Sumatra,Indonesia,-3.522,102.615,1940.0,23370016.145145185
Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872.0,39444655.36074747
Peuet Sague,Sumatra,Indonesia,4.903,96.289,2785.0,37771548.382543646
Unnamed,Chile-Is,Chile,-33.62,-76.83,-642.0,35591854.48685116
Ararat,Turkey,Turkey,39.7,44.3,5165.0,9330846.33473746
Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796.0,30427717.33455587
Kuchinoerabujima,Ryukyu Is,Japan,30.443,130.217,657.0,20038017.697823174
Liamuiga,W Indies,St. Kitts & Nevis,17.37,-62.8,1156.0,9474688.77444911
Soufriere Guadeloupe,W Indies,Guadeloupe,16.044,-61.664,1467.0,35310191.650637686
Lamongan,Java,Indonesia,-7.981,113.341,1641.0,11236857.54625092
Soputan,Sulawesi-Indonesia,Indonesia,1.112,124.737,1785.0,304873.87074331497
Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084.0,19519417.11511234
Esan,Hokkaido-Japan,Japan,41.805,141.166,618.0,42585379.97789125
Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829.0,17579484.551170707
Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-175.63,260.0,16178886.625541592
Sheveluch,Kamchatka,Russia,56.653,161.36,3283.0,16928635.47725217
Alaid,Kuril Is,Russia,50.861,155.565,2285.0,10054013.282424608
Umboi,New Guinea-NE of,Papua New Guinea,-5.592,147.892,1335.0,32791733.22556337
Midagahara,Honshu-Japan,Japan,36.571,137.59,2621.0,9907787.10062589
Semeru,Java,Indonesia,-8.108,112.922,3657.0,38324329.863316
